name,rating,picture,address,city,postcode,lon,lat,index
Buffet,2.5,//s3-media1.fl.yelpcdn.com/bphoto/m8k4GCu51_ePPmKARvk0JQ/90s.jpg,9125 Bonaventure Dr SE,Calgary,T2J 0P5,-114.068874,50.96965,1
Hot Point Fusion Cafe,2.5,//s3-media2.fl.yelpcdn.com/bphoto/3yqespOYlC8XS56IDU-UjA/90s.jpg,4340 Macleod Trail SW,Calgary,T2G 0A4,-114.064618,51.015181,1
Koto Sushi Lounge,2.5,//s3-media4.fl.yelpcdn.com/bphoto/vy1TReJz6AVmQdqnHZ1rLQ/90s.jpg,435 4 Avenue SW,Calgary,T2P 1E3,-114.071051,51.049523,1
New Dynasty Buffet Restaurant,2.5,//s3-media3.fl.yelpcdn.com/bphoto/txmNtUeVKSTK3VXmGCyxPA/90s.jpg,575 28 Street SE,Calgary,T2A 6X1,-113.989569,51.047786,1
Wok Box,2.5,//s3-media2.fl.yelpcdn.com/bphoto/I2ji2o1cUMQ025EY-sgLxw/90s.jpg,4916 130 Avenue SE,Calgary,T2Z 0G4,-113.963503,50.932056,1
Fire Kirin,3,//s3-media1.fl.yelpcdn.com/bphoto/4RtwkMioShjG7U--X0utcA/90s.jpg,12101 Lake Fraser Drive Southeast,Calgary,T2J 7G4,-114.068569,50.945702,1
Fryday,3,//s3-media4.fl.yelpcdn.com/bphoto/a42U891ZNXbVZd5cJ926Mg/90s.jpg,4105 4 Street NW,Calgary,T2K 1A2,-114.071654,51.08795,1
Fusion Sushi,3,//s3-media3.fl.yelpcdn.com/bphoto/ZuidgfFmzD7duT0BbfuiOQ/90s.jpg,511 McKnight Boulevard NE,Calgary,T2E 8P1,-114.05307,51.09597,1
Manrijangsung Korean Restaurant,3,//s3-media1.fl.yelpcdn.com/bphoto/d0ABOuoUp2vq-L6SUra_6A/90s.jpg,935 7 Ave SW,Calgary,T2P 1A5,-114.082073,51.047025,1
Taketomi Village Japanese Restaurant,3,//s3-media3.fl.yelpcdn.com/bphoto/Tkxqs6LULut2f7cwwkjzIg/90s.jpg,920 36 Street NE,Calgary,T2A 6L8,-113.981447,51.061501,1
Tang Restaurant,3,//s3-media3.fl.yelpcdn.com/bphoto/KZFRubVDskaJmkyJuydkdg/90s.jpg,909 - 33 Heritage Meadows Way SE,Calgary,T2H 3B8,-114.04138,50.983891,1
Thai Boat,3,//s3-media4.fl.yelpcdn.com/bphoto/Ieh_QI5_oCtktnESIsTwuA/90s.jpg,2323 32 Avenue NE,Calgary,T2E 6Z3,-114.006837,51.081397,1
